"start","end","consumption prediction"
"2024-02-22T17:00:00.000Z","2024-02-22T17:15:00.000Z","11411.2"
"2024-02-22T18:00:00.000Z","2024-02-22T18:15:00.000Z","11327.2"
"2024-02-22T19:00:00.000Z","2024-02-22T19:15:00.000Z","11179.2"
"2024-02-22T20:00:00.000Z","2024-02-22T20:15:00.000Z","10840.4"
"2024-02-22T21:00:00.000Z","2024-02-22T21:15:00.000Z","10869.3"
"2024-02-22T22:00:00.000Z","2024-02-22T22:15:00.000Z","10474.4"
"2024-02-22T23:00:00.000Z","2024-02-22T23:15:00.000Z","10345.2"
"2024-02-23T00:00:00.000Z","2024-02-23T00:15:00.000Z","10140.7"
"2024-02-23T01:00:00.000Z","2024-02-23T01:15:00.000Z","10008.5"
"2024-02-23T02:00:00.000Z","2024-02-23T02:15:00.000Z","9970"
"2024-02-23T03:00:00.000Z","2024-02-23T03:15:00.000Z","10086.6"
"2024-02-23T04:00:00.000Z","2024-02-23T04:15:00.000Z","10427"
"2024-02-23T05:00:00.000Z","2024-02-23T05:15:00.000Z","10957.5"
"2024-02-23T06:00:00.000Z","2024-02-23T06:15:00.000Z","11145.5"
"2024-02-23T07:00:00.000Z","2024-02-23T07:15:00.000Z","11258.8"
"2024-02-23T08:00:00.000Z","2024-02-23T08:15:00.000Z","11331.7"
"2024-02-23T09:00:00.000Z","2024-02-23T09:15:00.000Z","11351.3"
"2024-02-23T10:00:00.000Z","2024-02-23T10:15:00.000Z","11299.2"
"2024-02-23T11:00:00.000Z","2024-02-23T11:15:00.000Z","11361.2"
"2024-02-23T12:00:00.000Z","2024-02-23T12:15:00.000Z","11399.4"
"2024-02-23T13:00:00.000Z","2024-02-23T13:15:00.000Z","11253.7"
"2024-02-23T14:00:00.000Z","2024-02-23T14:15:00.000Z","11360.3"
"2024-02-23T15:00:00.000Z","2024-02-23T15:15:00.000Z","11411.1"
"2024-02-23T16:00:00.000Z","2024-02-23T16:15:00.000Z","11684.9"
"2024-02-23T17:00:00.000Z","2024-02-23T17:15:00.000Z","11806.1"
"2024-02-23T18:00:00.000Z","2024-02-23T18:15:00.000Z","11708.5"
"2024-02-23T19:00:00.000Z","2024-02-23T19:15:00.000Z","11391.9"
"2024-02-23T20:00:00.000Z","2024-02-23T20:15:00.000Z","11162"
"2024-02-23T21:00:00.000Z","2024-02-23T21:15:00.000Z","11111.4"
"2024-02-23T22:00:00.000Z","2024-02-23T22:15:00.000Z","10726.3"
"2024-02-23T23:00:00.000Z","2024-02-23T23:15:00.000Z","10538.6"
"2024-02-24T00:00:00.000Z","2024-02-24T00:15:00.000Z","10214.1"
"2024-02-24T01:00:00.000Z","2024-02-24T01:15:00.000Z","10102.7"
"2024-02-24T02:00:00.000Z","2024-02-24T02:15:00.000Z","9973.2"
"2024-02-24T03:00:00.000Z","2024-02-24T03:15:00.000Z","10076.2"
"2024-02-24T04:00:00.000Z","2024-02-24T04:15:00.000Z","10191.7"
"2024-02-24T05:00:00.000Z","2024-02-24T05:15:00.000Z","10343.3"
"2024-02-24T06:00:00.000Z","2024-02-24T06:15:00.000Z","10434.8"
"2024-02-24T07:00:00.000Z","2024-02-24T07:15:00.000Z","10531"
"2024-02-24T08:00:00.000Z","2024-02-24T08:15:00.000Z","10656.1"
"2024-02-24T09:00:00.000Z","2024-02-24T09:15:00.000Z","10725.3"
"2024-02-24T10:00:00.000Z","2024-02-24T10:15:00.000Z","10788"
"2024-02-24T11:00:00.000Z","2024-02-24T11:15:00.000Z","10814.3"
"2024-02-24T12:00:00.000Z","2024-02-24T12:15:00.000Z","10694.9"
"2024-02-24T13:00:00.000Z","2024-02-24T13:15:00.000Z","10748.1"
"2024-02-24T14:00:00.000Z","2024-02-24T14:15:00.000Z","10727.6"
"2024-02-24T15:00:00.000Z","2024-02-24T15:15:00.000Z","10909.3"
"2024-02-24T16:00:00.000Z","2024-02-24T16:15:00.000Z","11188.1"
"2024-02-24T17:00:00.000Z","2024-02-24T17:15:00.000Z","11421.8"
"2024-02-24T18:00:00.000Z","2024-02-24T18:15:00.000Z","11384.2"
"2024-02-24T19:00:00.000Z","2024-02-24T19:15:00.000Z","11042.6"
"2024-02-24T20:00:00.000Z","2024-02-24T20:15:00.000Z","10688.4"
"2024-02-24T21:00:00.000Z","2024-02-24T21:15:00.000Z","10767.3"
"2024-02-24T22:00:00.000Z","2024-02-24T22:15:00.000Z","10466.9"
"2024-02-24T23:00:00.000Z","2024-02-24T23:15:00.000Z","10214.8"
"2024-02-25T00:00:00.000Z","2024-02-25T00:15:00.000Z","9945.1"
"2024-02-25T01:00:00.000Z","2024-02-25T01:15:00.000Z","9764.6"
"2024-02-25T02:00:00.000Z","2024-02-25T02:15:00.000Z","9674.7"
"2024-02-25T03:00:00.000Z","2024-02-25T03:15:00.000Z","9744.2"
"2024-02-25T04:00:00.000Z","2024-02-25T04:15:00.000Z","9835.4"
"2024-02-25T05:00:00.000Z","2024-02-25T05:15:00.000Z","9979.3"
"2024-02-25T06:00:00.000Z","2024-02-25T06:15:00.000Z","9982.3"
"2024-02-25T07:00:00.000Z","2024-02-25T07:15:00.000Z","10172.4"
"2024-02-25T08:00:00.000Z","2024-02-25T08:15:00.000Z","10157.2"
"2024-02-25T09:00:00.000Z","2024-02-25T09:15:00.000Z","10217.7"
"2024-02-25T10:00:00.000Z","2024-02-25T10:15:00.000Z","10325.9"
"2024-02-25T11:00:00.000Z","2024-02-25T11:15:00.000Z","10377.5"
"2024-02-25T12:00:00.000Z","2024-02-25T12:15:00.000Z","10396.8"
